Brand_Model,Engine_Type,Condition,Region,Year,Mileage,Price
Hyundai Solaris,Electric,Good,Ekaterinburg,2010,264269,150000
Mercedes-Benz C-Class,Diesel,Excellent,Kazan,2018,90500,1752253
Kia Sportage,Petrol,Good,Rostov,2010,118472,337260
Mercedes-Benz GLE,Electric,Used,Samara,2023,218121,2713830
Kia Rio,Hybrid,Excellent,Ekaterinburg,2022,141244,1082800
Volkswagen Polo,Hybrid,Excellent,Kazan,2011,117564,250412
BMW X5,Electric,Excellent,St. Petersburg,2020,299686,1566483
Mercedes-Benz E-Class,Diesel,Used,Krasnodar,2016,44905,1154908
Nissan X-Trail,Diesel,Good,Ekaterinburg,2013,24634,260300
Volkswagen Passat,Petrol,Fair,St. Petersburg,2020,254813,717828
Lada Granta,Electric,Used,Moscow,2018,151433,180531
BMW X5,Petrol,Used,Kazan,2015,103948,945759
Renault Logan,Diesel,Used,Krasnodar,2024,158693,1174955
Mercedes-Benz GLE,Electric,Good,Novosibirsk,2015,52108,999640
Toyota Corolla,Diesel,Used,Samara,2016,296232,518199
Nissan Qashqai,Electric,Fair,Krasnodar,2019,41529,828416
Kia Rio,Hybrid,Used,Ekaterinburg,2017,148342,640499
Volkswagen Tiguan,Petrol,Excellent,Krasnodar,2014,139333,314091
Hyundai Creta,Hybrid,Used,Rostov,2024,213097,1105548
Volkswagen Tiguan,Petrol,Fair,Samara,2013,41710,274910
Toyota Corolla,Hybrid,Good,Ekaterinburg,2011,37172,275124
Kia Rio,Diesel,Excellent,Ekaterinburg,2017,70289,671817
Toyota Corolla,Petrol,Excellent,Novosibirsk,2015,153113,384415
Nissan X-Trail,Petrol,Fair,Rostov,2017,29922,538291
Toyota Corolla,Diesel,Used,Novosibirsk,2024,42270,1364613
Skoda Kodiaq,Hybrid,Fair,Moscow,2017,127604,541398
Toyota Camry,Petrol,Good,Kazan,2020,60659,833080
Hyundai Creta,Hybrid,Excellent,Rostov,2024,247316,1232664
Lada Granta,Hybrid,Excellent,Rostov,2010,55450,150000
Volkswagen Polo,Diesel,Good,Ekaterinburg,2017,160000,464890
Renault Duster,Diesel,Good,Samara,2018,239007,445990
Mercedes-Benz GLE,Electric,Excellent,Novosibirsk,2019,250925,1640682
Lada Granta,Electric,Fair,Moscow,2019,250311,262323
Renault Logan,Hybrid,Used,Kazan,2012,172896,376453
Lada Niva,Petrol,Used,St. Petersburg,2024,272746,455023
Toyota RAV4,Diesel,Good,Samara,2023,270482,1102034
Renault Duster,Electric,Good,St. Petersburg,2020,240450,625927
BMW 3-Series,Hybrid,Used,Novosibirsk,2014,152239,1028580
Nissan Qashqai,Hybrid,Fair,Ekaterinburg,2016,94181,447484
Toyota RAV4,Diesel,Used,St. Petersburg,2022,35663,1207481
Nissan Qashqai,Hybrid,Used,Moscow,2016,28153,631150
Kia K5,Electric,Excellent,Novosibirsk,2017,161180,506019
Mercedes-Benz C-Class,Electric,Fair,Novosibirsk,2015,111725,962529
Lada Vesta,Diesel,Fair,Samara,2015,74255,167030
Renault Logan,Electric,Used,Samara,2016,129672,468660
Renault Logan,Diesel,Fair,Moscow,2013,242955,266526
Hyundai Creta,Hybrid,Fair,Rostov,2017,127995,665196
Mercedes-Benz C-Class,Hybrid,Used,Ekaterinburg,2022,45460,2722568
Lada Granta,Electric,Used,Krasnodar,2018,193509,150000
Renault Logan,Diesel,Used,Samara,2019,295548,495340
Mercedes-Benz GLE,Hybrid,Good,St. Petersburg,2013,256857,637113
BMW X5,Electric,Excellent,Ekaterinburg,2010,276319,596046
Renault Duster,Hybrid,Used,Kazan,2016,40834,662125
Renault Sandero,Petrol,Fair,Moscow,2011,148137,170287
Mercedes-Benz E-Class,Electric,Good,Rostov,2014,133584,971580
Renault Logan,Diesel,Excellent,St. Petersburg,2010,170925,301055
Hyundai Solaris,Hybrid,Good,Moscow,2015,80563,358531
Hyundai Solaris,Hybrid,Fair,Ekaterinburg,2016,299107,419628
Hyundai Solaris,Diesel,Excellent,Krasnodar,2012,11363,258631
Skoda Kodiaq,Hybrid,Used,Krasnodar,2022,158868,1085224
Volkswagen Passat,Petrol,Excellent,Ekaterinburg,2010,287704,213129
Renault Logan,Hybrid,Excellent,Krasnodar,2017,165627,562270
Skoda Octavia,Diesel,Excellent,Rostov,2018,130652,711620
Mercedes-Benz C-Class,Diesel,Fair,Novosibirsk,2017,5032,1669069
Lada Vesta,Electric,Excellent,Samara,2012,260176,150000
Nissan Juke,Hybrid,Excellent,Ekaterinburg,2018,62253,786746
Hyundai Tucson,Petrol,Used,St. Petersburg,2011,269411,150000
Volkswagen Passat,Petrol,Excellent,Samara,2023,67150,1314555
Renault Sandero,Petrol,Excellent,Samara,2016,22460,393178
Kia K5,Electric,Fair,Kazan,2019,63864,847485
Mercedes-Benz GLE,Petrol,Used,Novosibirsk,2012,246309,562049
Kia Rio,Electric,Used,Kazan,2015,204645,363008
Skoda Octavia,Diesel,Fair,Ekaterinburg,2018,72583,542732
Renault Logan,Electric,Good,Krasnodar,2020,120840,729580
BMW 5-Series,Electric,Used,Krasnodar,2016,240505,1039701
BMW 3-Series,Electric,Good,Krasnodar,2018,96737,1579805
Hyundai Tucson,Petrol,Used,Ekaterinburg,2018,30935,708365
Mercedes-Benz C-Class,Electric,Good,Ekaterinburg,2019,89565,1936949
Volkswagen Tiguan,Electric,Excellent,St. Petersburg,2019,41152,913691
BMW X5,Hybrid,Excellent,Krasnodar,2011,229219,611303
Skoda Rapid,Petrol,Used,Krasnodar,2023,286774,1092129
Volkswagen Tiguan,Diesel,Used,Krasnodar,2022,118176,942439
Mercedes-Benz GLE,Diesel,Used,Kazan,2016,243174,950414
Lada Niva,Diesel,Fair,Samara,2017,47911,150000
Skoda Kodiaq,Hybrid,Fair,Ekaterinburg,2012,164751,259742
Nissan X-Trail,Diesel,Used,Samara,2019,221271,515122
Skoda Kodiaq,Electric,Excellent,Moscow,2020,128139,828204
Kia Rio,Electric,Fair,Novosibirsk,2014,205588,373789
BMW X5,Petrol,Fair,Moscow,2015,195723,1006130
Hyundai Creta,Diesel,Good,Samara,2012,221766,223550
Kia Rio,Petrol,Fair,Kazan,2011,288442,343926
Renault Logan,Petrol,Used,St. Petersburg,2023,232092,1121487
Hyundai Solaris,Petrol,Used,Novosibirsk,2021,130218,784692
Renault Logan,Petrol,Good,Krasnodar,2010,41162,150000
Renault Logan,Electric,Fair,Rostov,2011,10971,327626
Hyundai Tucson,Hybrid,Excellent,Kazan,2010,226857,152443
Lada Vesta,Diesel,Fair,Novosibirsk,2011,100292,150000
Nissan Qashqai,Hybrid,Fair,Rostov,2020,110447,680749
Hyundai Creta,Diesel,Excellent,Krasnodar,2018,24177,654522
Renault Logan,Petrol,Excellent,Kazan,2016,204747,352978
Toyota Camry,Diesel,Fair,Novosibirsk,2023,178915,1189971
Mercedes-Benz E-Class,Hybrid,Good,Ekaterinburg,2020,61989,2106982
Nissan Juke,Petrol,Excellent,Ekaterinburg,2021,226166,684346
Mercedes-Benz GLE,Hybrid,Fair,Rostov,2011,97045,679006
Nissan Qashqai,Petrol,Used,Novosibirsk,2021,156470,878670
Lada Vesta,Petrol,Used,Moscow,2021,267686,265475
BMW X5,Electric,Good,St. Petersburg,2017,285935,1216655
Volkswagen Polo,Petrol,Good,Kazan,2014,175271,305791
Skoda Octavia,Petrol,Excellent,Samara,2011,78401,310698
Toyota Corolla,Electric,Fair,Samara,2020,121820,692094
Mercedes-Benz E-Class,Electric,Good,Kazan,2019,180986,1643355
Volkswagen Tiguan,Hybrid,Excellent,Moscow,2023,226940,1211443
BMW X5,Diesel,Used,Ekaterinburg,2018,165033,1638603
Kia K5,Petrol,Fair,St. Petersburg,2012,158712,164799
Toyota Camry,Petrol,Good,Moscow,2011,74603,312927
Volkswagen Tiguan,Petrol,Good,Novosibirsk,2024,48485,1427026
Mercedes-Benz E-Class,Diesel,Excellent,Krasnodar,2023,294907,2611243
Mercedes-Benz E-Class,Petrol,Excellent,Novosibirsk,2020,84761,2036229
Mercedes-Benz C-Class,Diesel,Fair,Rostov,2022,94605,2779168
Mercedes-Benz C-Class,Electric,Used,Moscow,2011,67449,730306
Volkswagen Tiguan,Diesel,Excellent,Kazan,2020,123284,806061
BMW 5-Series,Petrol,Fair,St. Petersburg,2019,110778,1706472
Skoda Kodiaq,Hybrid,Used,Ekaterinburg,2021,244458,927191
Skoda Kodiaq,Petrol,Good,Samara,2018,222152,679037
Nissan Qashqai,Petrol,Used,Ekaterinburg,2018,151410,744498
Hyundai Tucson,Hybrid,Fair,Krasnodar,2024,286537,1291456
Kia K5,Hybrid,Used,Novosibirsk,2022,127861,1058944
Lada Vesta,Hybrid,Excellent,Samara,2014,115782,279527
BMW X5,Electric,Fair,Moscow,2014,110437,999087
Toyota Corolla,Hybrid,Excellent,St. Petersburg,2024,22436,1538973
BMW 3-Series,Diesel,Used,Novosibirsk,2022,43245,2722230
Renault Duster,Electric,Fair,Rostov,2020,138740,725075
BMW X5,Electric,Excellent,Krasnodar,2016,205670,1068791
Mercedes-Benz C-Class,Petrol,Good,Rostov,2014,15251,1077579
Nissan Juke,Hybrid,Fair,Samara,2012,292767,293409
Lada Granta,Electric,Excellent,Ekaterinburg,2020,117825,299827
Toyota Corolla,Hybrid,Good,Moscow,2019,279671,683020
Toyota RAV4,Petrol,Excellent,Krasnodar,2017,141066,577358
Lada Granta,Electric,Good,Novosibirsk,2018,64663,189293
Lada Granta,Petrol,Fair,Moscow,2015,19977,163171
Skoda Kodiaq,Diesel,Fair,St. Petersburg,2017,108135,500296
Mercedes-Benz C-Class,Electric,Excellent,Ekaterinburg,2017,189743,1275302
Nissan Qashqai,Diesel,Excellent,Novosibirsk,2023,147660,1196962
Toyota RAV4,Hybrid,Good,Novosibirsk,2024,24868,1373818
Kia K5,Electric,Good,Samara,2021,95823,1020749
Mercedes-Benz GLE,Hybrid,Good,Samara,2021,204983,2092608
Volkswagen Polo,Electric,Used,Krasnodar,2015,217766,380317
BMW X5,Electric,Excellent,Samara,2011,295219,603884
Mercedes-Benz C-Class,Hybrid,Used,Rostov,2016,19163,1232006
Nissan Juke,Diesel,Excellent,Novosibirsk,2024,120228,1498455
Nissan Juke,Electric,Used,Rostov,2017,117599,662902
BMW X5,Petrol,Used,Samara,2020,248513,1672354
Kia K5,Electric,Fair,Samara,2011,172109,150000
Hyundai Tucson,Electric,Fair,Krasnodar,2024,269384,1234830
Mercedes-Benz C-Class,Electric,Fair,St. Petersburg,2024,158373,3318304
Renault Logan,Petrol,Excellent,Samara,2015,241353,382920
Toyota RAV4,Electric,Fair,Rostov,2010,13949,272591
Nissan Juke,Petrol,Excellent,Ekaterinburg,2019,21948,892193
Volkswagen Tiguan,Electric,Excellent,Kazan,2012,179897,335789
Hyundai Creta,Hybrid,Good,Rostov,2018,274916,543463
Lada Granta,Diesel,Excellent,St. Petersburg,2010,202067,150000
Hyundai Creta,Hybrid,Used,Novosibirsk,2014,192941,389004
Volkswagen Tiguan,Diesel,Fair,Samara,2010,202589,308886
Skoda Rapid,Electric,Excellent,Krasnodar,2011,29161,412676
Volkswagen Passat,Petrol,Fair,Novosibirsk,2015,87948,434844
Hyundai Creta,Diesel,Fair,Samara,2018,251545,559875
Hyundai Tucson,Diesel,Good,Krasnodar,2024,84507,1381317
Nissan Juke,Diesel,Good,Kazan,2011,64857,313496
Volkswagen Tiguan,Hybrid,Fair,Samara,2021,168917,951232
Renault Duster,Petrol,Excellent,Kazan,2021,148934,897429
Lada Granta,Petrol,Used,St. Petersburg,2015,80984,150000
Volkswagen Passat,Electric,Good,Moscow,2011,289517,305645
Mercedes-Benz C-Class,Hybrid,Fair,Krasnodar,2017,155986,1481357
Renault Duster,Electric,Used,Kazan,2023,269579,1051750
Kia K5,Diesel,Fair,Novosibirsk,2013,80375,476421
Volkswagen Polo,Diesel,Used,Krasnodar,2017,221049,511121
BMW 5-Series,Petrol,Excellent,Samara,2011,215677,665462
Toyota Camry,Hybrid,Used,Samara,2011,234740,352240
Hyundai Solaris,Hybrid,Fair,Samara,2010,279033,150000
Skoda Rapid,Electric,Fair,Moscow,2023,154061,1270895
BMW 3-Series,Petrol,Used,Rostov,2018,197359,1586519
Hyundai Tucson,Hybrid,Used,Novosibirsk,2024,142440,1306948
Hyundai Solaris,Electric,Excellent,St. Petersburg,2015,102911,427536
Hyundai Tucson,Petrol,Excellent,Kazan,2024,159256,1307219
Toyota RAV4,Hybrid,Used,Kazan,2011,170665,233003
Mercedes-Benz C-Class,Electric,Used,Kazan,2011,258474,700196
Renault Logan,Diesel,Good,St. Petersburg,2021,43146,847646
Lada Niva,Hybrid,Fair,Rostov,2011,140852,236724
Kia K5,Petrol,Good,St. Petersburg,2016,171206,437742
BMW 3-Series,Electric,Used,St. Petersburg,2019,194455,1666114
Skoda Octavia,Hybrid,Fair,St. Petersburg,2022,260867,1040021
BMW 5-Series,Hybrid,Used,St. Petersburg,2022,109338,2766973
Skoda Octavia,Diesel,Fair,Moscow,2023,237582,1024865
Nissan Qashqai,Electric,Good,St. Petersburg,2010,189834,306627
Toyota Camry,Petrol,Used,Moscow,2019,176892,581335
Nissan X-Trail,Hybrid,Excellent,Krasnodar,2012,298690,330430
Mercedes-Benz C-Class,Petrol,Good,Kazan,2023,173258,2779843
BMW 5-Series,Hybrid,Fair,St. Petersburg,2014,246429,869109
Mercedes-Benz C-Class,Hybrid,Good,Samara,2011,263950,571264
Renault Sandero,Diesel,Used,Rostov,2011,97361,150000
Renault Sandero,Petrol,Fair,Kazan,2023,86544,1182535
Volkswagen Passat,Diesel,Used,St. Petersburg,2011,165333,238427
Toyota RAV4,Diesel,Excellent,St. Petersburg,2011,101645,325026
Mercedes-Benz E-Class,Electric,Fair,Samara,2012,55967,793358
Skoda Rapid,Petrol,Excellent,Novosibirsk,2023,283605,924414
Lada Granta,Petrol,Used,Samara,2017,25237,294827
Mercedes-Benz E-Class,Petrol,Fair,St. Petersburg,2014,50918,1010990
Renault Sandero,Diesel,Excellent,Rostov,2017,139195,397637
Toyota RAV4,Hybrid,Good,Samara,2011,233034,150000
Nissan Qashqai,Petrol,Good,Moscow,2012,63156,180058
Renault Duster,Petrol,Used,Ekaterinburg,2011,176406,217797
BMW X5,Petrol,Fair,Samara,2022,11006,2767874
Mercedes-Benz E-Class,Diesel,Good,Krasnodar,2010,256464,478427
Mercedes-Benz E-Class,Electric,Good,Novosibirsk,2017,162048,1340801
Skoda Octavia,Diesel,Used,Novosibirsk,2023,52255,1215251
Nissan Juke,Hybrid,Fair,Samara,2024,219990,1160017
Renault Duster,Electric,Excellent,Novosibirsk,2018,50516,632542
Kia Rio,Hybrid,Good,Ekaterinburg,2017,177635,539279
Nissan Qashqai,Diesel,Good,Moscow,2018,65614,632800
Hyundai Tucson,Diesel,Good,Ekaterinburg,2020,88775,969733
Kia Rio,Hybrid,Good,Samara,2011,24159,403642
Kia Rio,Petrol,Used,Ekaterinburg,2014,119840,464151
Volkswagen Polo,Petrol,Excellent,Moscow,2021,162611,1018569
Mercedes-Benz C-Class,Diesel,Good,Samara,2010,276408,572100
Volkswagen Polo,Diesel,Excellent,Ekaterinburg,2022,17251,1264881
Hyundai Creta,Electric,Fair,St. Petersburg,2018,256631,635736
Hyundai Tucson,Petrol,Good,Rostov,2011,182470,150000
Lada Vesta,Diesel,Good,Ekaterinburg,2018,294957,347167
Renault Logan,Petrol,Used,Moscow,2012,156467,326010
Mercedes-Benz GLE,Hybrid,Good,Krasnodar,2012,143250,829488
Hyundai Solaris,Petrol,Fair,Rostov,2011,32032,419357
Skoda Octavia,Diesel,Good,Rostov,2014,145958,270384
Renault Logan,Hybrid,Good,Samara,2022,21926,1053821
Lada Vesta,Diesel,Good,Moscow,2010,267286,150000
Lada Niva,Diesel,Good,Krasnodar,2014,21772,150000
Mercedes-Benz E-Class,Petrol,Good,Rostov,2021,226286,2147136
Volkswagen Passat,Petrol,Excellent,Ekaterinburg,2023,183077,1012967
Hyundai Tucson,Hybrid,Used,St. Petersburg,2012,106520,443344
Kia Sportage,Petrol,Used,Samara,2011,22755,150000
Kia Sportage,Diesel,Good,Novosibirsk,2018,277446,481031
Lada Vesta,Hybrid,Fair,Novosibirsk,2014,293060,150000
Kia K5,Diesel,Good,Krasnodar,2017,32022,672258
BMW X5,Diesel,Fair,Rostov,2019,108563,1715715
Kia Rio,Diesel,Excellent,Kazan,2015,254048,482427
Kia K5,Hybrid,Excellent,Samara,2013,15228,400565
Kia Rio,Diesel,Good,Samara,2018,145927,485432
Toyota Corolla,Electric,Fair,Ekaterinburg,2012,109441,168120
Kia Rio,Electric,Fair,Krasnodar,2017,160878,655860
BMW X5,Diesel,Excellent,Samara,2023,56181,3210846
BMW 5-Series,Electric,Used,Samara,2010,63839,664565
Toyota Corolla,Petrol,Good,Samara,2012,160714,184092
Hyundai Tucson,Hybrid,Excellent,Ekaterinburg,2013,89950,306485
BMW 3-Series,Diesel,Fair,Kazan,2020,226498,1876003
Nissan Juke,Petrol,Fair,Kazan,2010,239600,322796
Kia Rio,Petrol,Used,Krasnodar,2021,128276,1006818
Hyundai Solaris,Petrol,Good,Ekaterinburg,2015,154284,333358
Toyota RAV4,Diesel,Good,Samara,2018,181496,568206
Kia K5,Hybrid,Excellent,Novosibirsk,2013,167493,382923
Skoda Kodiaq,Diesel,Excellent,Novosibirsk,2014,7804,497284
Volkswagen Passat,Diesel,Fair,Krasnodar,2016,56492,640873
BMW X5,Hybrid,Used,Samara,2019,206166,1490384
Renault Logan,Petrol,Fair,Novosibirsk,2011,65126,150000
Skoda Rapid,Diesel,Excellent,Novosibirsk,2019,90602,713521
Volkswagen Tiguan,Electric,Fair,Kazan,2016,197025,564348
Skoda Octavia,Petrol,Good,Kazan,2015,243617,377838
Skoda Rapid,Petrol,Good,Ekaterinburg,2013,271563,318187
BMW X5,Diesel,Used,Ekaterinburg,2019,244905,1628650
Renault Logan,Electric,Good,Ekaterinburg,2021,17078,884158
Toyota Camry,Petrol,Excellent,Ekaterinburg,2019,297624,468800
Kia K5,Petrol,Good,Novosibirsk,2018,59439,543417
Skoda Octavia,Petrol,Fair,Samara,2011,59637,227526
Mercedes-Benz C-Class,Diesel,Excellent,Krasnodar,2021,142197,2336659
Kia Sportage,Electric,Excellent,Novosibirsk,2012,114351,379761
Skoda Kodiaq,Petrol,Excellent,Samara,2015,74916,445163
Hyundai Solaris,Electric,Excellent,Kazan,2011,236491,248141
Skoda Kodiaq,Diesel,Excellent,Moscow,2022,286305,737783
Nissan Qashqai,Hybrid,Used,Krasnodar,2011,34589,415157
Renault Logan,Hybrid,Good,Moscow,2024,228575,1299686
Toyota RAV4,Petrol,Good,Rostov,2022,297733,884886
Kia Sportage,Petrol,Excellent,Krasnodar,2021,15941,1134846
Mercedes-Benz GLE,Hybrid,Good,Samara,2012,251209,677872
Nissan Juke,Diesel,Good,Samara,2016,74131,435137
Renault Logan,Hybrid,Used,Kazan,2021,105574,1048703
Skoda Rapid,Diesel,Fair,Rostov,2019,144557,583239
BMW X5,Hybrid,Good,Rostov,2020,259047,1743647
Nissan Qashqai,Petrol,Good,Rostov,2014,235197,210777
Lada Vesta,Petrol,Good,Ekaterinburg,2019,142147,192193
Hyundai Solaris,Hybrid,Excellent,Rostov,2016,86226,540266
Nissan X-Trail,Diesel,Excellent,Rostov,2020,42290,819353
Skoda Octavia,Electric,Good,Krasnodar,2017,121547,692549
Nissan Juke,Petrol,Used,Samara,2010,280670,177090
Hyundai Solaris,Diesel,Good,Rostov,2014,123272,457546
Nissan Juke,Petrol,Good,Novosibirsk,2024,199552,1355576
Mercedes-Benz GLE,Petrol,Excellent,Moscow,2024,192574,3291737
Kia K5,Diesel,Excellent,Samara,2022,179977,1094548
Skoda Rapid,Hybrid,Good,Samara,2016,218598,373973
Hyundai Creta,Hybrid,Good,Kazan,2024,248104,1223537
Volkswagen Tiguan,Hybrid,Excellent,Samara,2017,250641,609262
Lada Vesta,Petrol,Good,Ekaterinburg,2011,216507,150000
Nissan Juke,Diesel,Excellent,Ekaterinburg,2020,246535,767889
Nissan Qashqai,Petrol,Excellent,Ekaterinburg,2010,216489,166764
Kia Rio,Electric,Used,Samara,2017,133745,686470
Volkswagen Passat,Electric,Good,Krasnodar,2010,172131,299752
Hyundai Creta,Hybrid,Used,Moscow,2023,258664,945338
Volkswagen Passat,Hybrid,Excellent,Samara,2013,215265,264963
BMW X5,Diesel,Excellent,St. Petersburg,2024,234465,3066428
Lada Granta,Diesel,Fair,Ekaterinburg,2014,290863,167012
Mercedes-Benz GLE,Hybrid,Good,Novosibirsk,2012,93249,806459
Renault Sandero,Petrol,Fair,Samara,2010,100578,350302
Nissan Qashqai,Diesel,Fair,Krasnodar,2011,256876,150000
Nissan X-Trail,Hybrid,Used,Rostov,2016,283689,362897
Lada Granta,Electric,Good,Rostov,2010,219619,150000
Toyota Camry,Electric,Fair,St. Petersburg,2021,232464,730032
Nissan Qashqai,Electric,Good,St. Petersburg,2010,61121,387545
BMW 5-Series,Electric,Used,Krasnodar,2023,66618,2989995
Nissan Juke,Diesel,Good,Rostov,2017,62730,641058
Hyundai Tucson,Diesel,Used,Samara,2013,216710,440307
Kia Sportage,Diesel,Good,Rostov,2019,249805,588038
Volkswagen Tiguan,Diesel,Excellent,Ekaterinburg,2014,119900,226749
Kia Rio,Electric,Good,Ekaterinburg,2023,288476,1119118
Nissan Juke,Hybrid,Good,Samara,2018,234905,489559
BMW 3-Series,Diesel,Excellent,St. Petersburg,2020,13349,2185326
Hyundai Tucson,Diesel,Used,Ekaterinburg,2019,52301,759286
Kia K5,Petrol,Fair,Novosibirsk,2023,257576,912391
